#+TITLE: NATUURKUNDE VWO: OPGAVENPLANNER 2024-2025
#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil

* Hd1
** Hd1.txt

| Opgave | Gegeven                            | Formules/Concepten                   | Gevraagd                      |
| 27e            | Botsingen, data-analyse            | Data-analyse, selectiecriteria    | Reden voor selectie van botsingen   |
| 28a            | C-11 isotoop, protonen, N-14       | Kernreacties                       | Reactievergelijking voor productie   |
| 28b            | C-11 verval, positron               | Verval en stralingswetten          | Vervaldeeltjes bij positron-analyse  |
| 28c            | Gammafotonen, annihilatie          | Energiebewaring, foton-richting    | Richting van gammafotonen           |
| 28d            | Gammafotonen, tijdsduur            | Snelheid van licht                 | Orde van grootte tijdsduur          |
| 28e            | Positron, stralingsbelasting        | Energieoverdracht, massa          | Stralingsdosis van hersenen         |
| 28f            | C-11, halveringstijd                | Halveringstijd                     | Reden voor afwijkende halveringstijd |
| 29a            | P-32 bron, activiteit               | Radioactieve verval                | Tijd tussen maken en onderzoek      |
| 29b            | Elektronen, magnetische en elektrische velden | Lorentzkracht en elektrische kracht | Richtingen van krachten en stroom   |
| 29c            | Spanningsbron                       | Wisselstroom of gelijkstroom      | Type spanningsbron                  |
| 29d            | Elektronen, snelheid, energie       | Energie- en snelheid relaties      | Energieverdeling van elektronen     |
| 29e            | Elektronen, snelheid en energie     | Relativistische correcties          | Energieverdeling van elektronen     |
| 29f            | Vervalreactie, energieverdeling      | Verval en deeltjes                 | Soort deeltje bij verval            |
| 29g            | Energieverdeling van neutrino's     | Energieverdeling                    | Grafiek voor neutrino's             |

* Hd17
** Hd17.txt
|  Opgave | Gegeven                            | Formules/Concepten                   | Gevraagd                      |
|----------|----------------------------|----------------------------------|------------------------------------|
| 1        | Straaljager, lichtsnelheid  | Lorentz-contractie, snelheid      | Lengte van straaljager in andere stelsel, snelheid voor lengte 7,5 m |
| 2        | Astronaut, Proxima Centauri | Tijdsdilatatie, lengtecontractie  | Duur reis in stelsel van Lola, afstand in stelsel van Buzz, duur reis in stelsel van Buzz |
| 3        | Astronaut Bun, controlepost | Tijdsdilatatie, frequentieverandering | Duur boodschap in stelsel controlepost, frequentie hartslag in stelsel controlepost |
| 4        | Trein, gebeurtenissen       | Tijdsdilatatie                     | Snelheid van de trein, verklaring tijdsduur metingen door Ole   |
| 5        | Nimbus, brug, Ginny, Harry  | Lengtecontractie, relatieve snelheid | Breedte van brug in stelsel van Harry, lengte van Nimbus in stelsel van Ginny, duur tocht in stelsel van Harry en Ginny |
| 6        | Staaf, Ramazan               | Lengtecontractie, hoekverandering | Lengte van staaf in stelsel van Ramazan, hoek van staaf in stelsel van Ramazan |
| 7        | Lichtklok, tijdsperioden    | Tijdsdilatatie                     | Periode van lichtklok in stelsel van Alina en Bruce, afleiden formules |
| 9        | Luipaard, antilope, bosje   | Ruimtetijd-diagram                 | Wereldlijnen van luipaard en antilope in beide referentiestelsels |
| 10       | Waarnemers, ruimtetijd-diagram | Wereldlijnen                      | Wereldlijnen van waarnemers tekenen |
| 11       | Schutter, bierfles, kogel   | Relativistische tijdsverandering  | Tijd tot kogel de fles bereikt, afstand tussen schutter en fles in kogelstelsel, tijd tot schutter de breking ziet, tweede schutter scenario |
| 12       | Nimbus, brug, Ginny, Harry  | Lengtecontractie, relatieve snelheid | Wereldlijnen van Nimbus en brug in beide stelsels tekenen, verschil in tekeningen |
| 13       | Supernova, neutronenster    | Ruimtetijd-diagram                 | Jaar van supernova, uitleg over waarneming en lichtkegels |
| 14       | Tennisbal, muur, Aimee      | Ruimtetijd-diagram                 | Beweging van Aimee, gebeurtenis V, wereldlijnen in stelsel van tennisbal |
| 15       | Gebeurtenissen, Jurgen, William | Ruimtetijd-diagram                 | Gebeurtenissen op zelfde plek en gelijktijdigheid in stelsels van William en Jurgen |
| 16       | Meryam, lamp, raket, Enes   | Ruimtetijd-diagram                 | Juiste manier van bepalen brandtijd lamp in stelsel van Enes |
| 17       | Anton, Victor, sensoren, trein | Ruimtetijd-diagram                 | Gebeurtenissen A en B, assen van referentiestelsel van Victor, tijdstip van passeren sensoren |
| 18       | Bart, Auke, Yuen            | Ruimtetijd-diagram                 | Snelheid van Bart en Auke, assen van referentiestelsels, inslagen van objecten |
| 19       | Lichtstraal, Ruud, Ina      | Lichtsnelheid                      | Tijd voor Ruud om lichtstraal te zien, afstand tot Ina |
| 20       | Nimbus, brug, Ginny, Harry  | Lengtecontractie, relatieve snelheid | Breedte van brug in stelsel van Harry, tijd om brug te passeren, lengtes PQ in stelsel van Ginny |
| 21             | Nimbus, Brug, Ginny's referentiestelsel    | Lorentz-transformaties, Ruimtetijd-diagram | Lengte Nimbus in Ginny's stelsel, Tijd voor Nimbus om brug te passeren |
| 22             | Deeltje, Snelheid                         | Relativistische energieformules            | Kinetische energie van een deeltje         |
| 23             | Enterprise, Bird of Prey, Projectiel       | Relativistische snelheidsoptellingen       | Snelheid projectiel ten opzichte van Bird of Prey |
| 24             | Protonenbundels, Large Hadron Collider     | Relativistische energieformules            | Snelheid van protonen, Aantal protonen in bundel |
| 25             | Kern He-4, Supernova                       | Relativistische energieformules            | Rustenergie van kern He-4, Snelheid van kern He-4 |
| 26             | Ruimteschip                                | Relativistische energieformules            | Toename totale energie, Snelheid bij verdubbeling van energie |
| 27             | Ruimteschip, Planeetlander, Ikusasa        | Relativistische snelheidsoptellingen       | Snelheid planeetlander in het stelsel van Ikusasa, Snelheid ontvangstraket ten opzichte van planeetlander |
| 28             | K'-mesonen, Tellermaten                    | Relativistische tijd-dilatatie, Massa-energie equivalentie | Halveringstijd van K'-meson, Rustmassa van K'-meson |
| 29             | Planeet Zarmina                            | Formules voor ontsnappingssnelheid en Schwarzschildstraal | Ontsnappingssnelheid, Schwarzschildstraal |
| 30             | Neutronenster, Zwart gat                   | Schwarzschildstraal, Massa-energie equivalentie | Verandering Schwarzschildstraal, Reden waarom neutronenster geen zwart gat is |
| 31             | Zwart gat, Dichtheid van zwart gat         | Formule voor dichtheid van zwart gat       | Minimale dichtheid van een zwart gat       |
| 32             | GPS-satelliet                              | Tijd-dilatatie door snelheid en zwaartekracht | Tijdverschil door zwaartekracht en snelheid |
| 33             | Lift, Calabozo                             | Valversnelling, Gravitatieformule          | Valversnelling op Calabozo, Is Calabozo een zwart gat? |
| 34             | Ruimtesonde, Zwart gat                     | Tijd-dilatatie in sterk zwaartekrachtveld  | Frequentie van het signaal op aarde, Afstand tot zwart gat bij ontvangen frequentie |

