#+TITLE: NATUURKUNDE HAVO: VEELGESTELDE VRAGEN 2024-2025
#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil

* Hd1
** Hd1.txt
|#| Vraag                                                                                                   | Antwoord                   |
| 59 | Leg uit hoe het gebruik van drie stralingsbronnen in plaats van één voordeel heeft bij bestraling van een tumor. | Door drie stralingsbronnen te gebruiken, kan de stralingsdosis gelijkmatig over de tumor worden verdeeld. Dit zorgt voor een effectievere bestraling van de tumor zonder dat de intensiteit van elke bron te hoog is. |
| 60 | Wanneer is het beter om drie stralingsbronnen te gebruiken, bij oppervlakkige of diepliggende tumoren? | Drie stralingsbronnen zijn beter voor oppervlakkige tumoren omdat de straling gelijkmatig over een groter gebied wordt verdeeld, wat moeilijker is voor diepliggende tumoren.|
| 61 | Waarom is een gammastraler minder geschikt voor inwendige bestraling dan een alfa- of betastraler? | Een gammastraler heeft een groter doordringend vermogen maar een lager ioniserend vermogen, waardoor het minder effectief is voor inwendige bestraling waar lokale hoge dosis belangrijk is. |
| 62 | Wordt er bij inwendige bestraling een alfastraler of een betastraler gebruikt? | Meestal wordt een alfastraler gebruikt omdat alfastraling een hoog ioniserend vermogen heeft, wat efficiënter is voor het doden van kankercellen bij inwendige bestraling. |
| 63 | Hoe kan je de stralingsdosis gelijkstellen aan de equivalente dosis bij röntgenfoto's? | De stralingsdosis wordt gelijkgesteld aan de equivalente dosis omdat de straling bij röntgenfoto's op dezelfde manier door het lichaam wordt geabsorbeerd en gemeten. |
| 64 | Hoeveel röntgenfotonen absorbeert een patiënt als hij een bepaalde dosis ontvangt? | Dit kan berekend worden door de dosis te delen door de energie per foton om het aantal röntgenfotonen te vinden. (Specifieke getallen zijn hier niet gegeven, maar dit is de algemene methode.) |
| 65 | Geef de vervalreactie van kalium-40.                                                        | De vervalreactie van kalium-40 is: \[ ^{40}_{19}K \rightarrow ^{40}_{20}Ca + \beta^- \] (Kalium-40 vervalt naar calcium-40 door beta-verval.)                                        |
| 66 | Waarom is het advies om een banaan niet vers te eten om de radioactiviteit te verminderen niet effectief? | De radioactiviteit van een banaan is zo laag dat het niet significant verandert of vermindert door het al dan niet vers eten. Het effect op het lichaam is verwaarloosbaar.|
| 67 | Hoeveel bananen moet je per dag eten om de stralingsnorm te overschrijden?                  | Dit hangt af van de norm en de radioactieve activiteit per banaan, maar moet worden berekend door de totale activiteit te vergelijken met de norm. |
| 68 | Hoe bereken je de jaarlijkse equivalente stralingsdosis van kalium in het lichaam?         | Vermenigvuldig de activiteit van kalium in het lichaam met de energie van de uitgezonden straling en de tijd dat deze activiteit aanhoudt. (Specifieke getallen zijn niet gegeven.)|
| 69 | 1Welke eigenschap van röntgenstraling wordt benut bij een CT-scan?                           | De eigenschap van röntgenstraling die benut wordt bij een CT-scan is het doordringend vermogen, wat helpt bij het verkrijgen van doorsnedes van het lichaam. |
| 70 | 1Wat is de vervalreactie van molybdeen naar technetium?                                      | De vervalreactie is: \[ ^{99}_{42}Mo \rightarrow ^{99}_{43}Tc + \beta^- \] (Molybdeen-99 vervalt naar technetium-99 door beta-verval.) |
| 71 | 1Waarom is technetium zeer geschikt voor medisch onderzoek?                                | Technetium is geschikt omdat het lange tijd stabiel blijft en een geschikte vervaltijd heeft, waardoor het effectief kan worden gebruikt voor medische scans zoals SPECT. |
| 72 | 1Waarom moeten de kanaaltjes in de loden plaat smal zijn?                                  | Smalle kanaaltjes zorgen ervoor dat alleen fotonen met een specifieke richting door de plaat kunnen passeren, wat de nauwkeurigheid van de detectie verbetert. |
| 73 |  Hoe bereken je of de equivalente dosis van een SPECT-scan lager of hoger is dan de jaarlijkse dosis door achtergrondstraling? | Vergelijk de jaarlijkse equivalente dosis van achtergrondstraling met de dosis van de SPECT-scan door de dosis van de scan te berekenen en te vergelijken met de jaarlijkse dosis. |
| 74 | Hoe wordt een beeld van het inwendige van het lichaam verkregen bij röntgenfotografie?    | Bij röntgenfotografie wordt röntgenstraling door het lichaam gestuurd. De straling die niet door het lichaam wordt geabsorbeerd, wordt op een detectiescherm vastgelegd, waardoor een afbeelding van de binnenstructuren ontstaat. |
| 75 | Wat beïnvloedt de intensiteit van de doorgelaten röntgenstraling?                         | De intensiteit van de doorgelaten röntgenstraling hangt af van de dikte en het soort materiaal dat de straling doorkruist, evenals van de fotonenergie van de röntgenstraling. |
| 76 | Hoe ontstaat een beeld bij een CT-scan en wat zijn de overeenkomsten en verschillen met röntgenfotografie? | Bij een CT-scan worden meerdere röntgenfoto's vanuit verschillende hoeken genomen en samengevoegd tot een doorsnede van het lichaam. Dit biedt meer gedetailleerde beelden dan een enkele röntgenfoto. |
| 77 | Wat is het verschil tussen een natuurlijke en kunstmatige stralingsbron?                  | Natuurlijke stralingsbronnen komen van nature voor, zoals kosmische straling en achtergrondstraling. Kunstmatige stralingsbronnen worden door mensen gemaakt, zoals röntgenapparaten en nucleaire bronnen. |
| 78 | Hoe beschrijf je de bouw van een atoomschematisch met behulp van atoomnummer en massagetal? | Het atoom wordt weergegeven met een kern die het atoomnummer (Z) en het massagetal (A) bevat. Het atoomnummer is het aantal protonen, en het massagetal is het totaal van protonen en neutronen. |
| 79 | Wat gebeurt er bij het uitzenden van beta-straling?                                      | Bij beta-straling zendt de kern een elektron (beta-deeltje) uit, terwijl een neutron in een proton verandert, wat resulteert in een verandering van het atoomnummer met 1. |
| 80 | Waarom hebben verschillende soorten kernstraling verschillende doordringend en ioniserend vermogen? | Alfastraling heeft een klein doordringend vermogen maar een hoog ioniserend vermogen, terwijl gammastraling een groot doordringend vermogen heeft maar een laag ioniserend vermogen. |
| 81 | Hoe ontstaat een beeld bij nucleaire diagnostiek en waarom worden alleen gamma-stralers gebruikt? | Bij nucleaire diagnostiek wordt een radioactieve stof ingebracht die gamma-straling uitzendt. Gamma-stralers zijn geschikt omdat ze door het lichaam kunnen dringen en gemakkelijk gedetecteerd kunnen worden. |
| 82 | Wat is de halveringstijd en hoe bepaal je deze uit een vervalkromme?                        | De halveringstijd is de tijd die nodig is voor de helft van de instabiele kernen om te vervallen. Dit kan worden bepaald door de tijd te vinden waarin de activiteit halveert op de vervalkromme. |
| 83 |  Wat bepaalt de activiteit van een radioactieve isotoop op een bepaald tijdstip?            | De activiteit op een bepaald tijdstip wordt bepaald door het aantal resterende instabiele kernen en de halveringstijd van de isotoop. |
| 84 |  Wat zijn de risicos van ioniserende straling en welke beschermingsmaatregelen zijn er?    | Ioniserende straling kan schade aan cellen en weefsels veroorzaken, wat kan leiden tot stralingsziekte of kanker. Beschermingsmaatregelen omvatten het gebruik van afscherming, afstand houden en blootstelling minimaliseren. |
| 85 |  Wat is het verschil tussen uitwendige en inwendige bestraling?                           | Uitwendige bestraling komt van een bron buiten het lichaam, terwijl inwendige bestraling plaatsvindt met een stralingsbron die binnenin het lichaam is geplaatst. |
| 86 |  Hoe werkt een dosimeter en een geigerteller?                                             | Een dosimeter meet de totale hoeveelheid opgelopen straling door een persoon. Een geigerteller meet de activiteit van een stralingsbron door het aantal deeltjes of fotonen te tellen. |
| 87 |  Hoe wordt stralingsdosis gemeten en wat is de betekenis van stralingsbeschermingsnormen?   | Stralingsdosis wordt gemeten in eenheden die de hoeveelheid opgenomen straling aangeven. Stralingsbeschermingsnormen geven de maximale veilige dosis aan die iemand mag ontvangen om gezondheidsrisico's te minimaliseren. |
| 88 |  Wat zijn de voordelen van het gebruik van een geigerteller voor het meten van straling?   | Een geigerteller biedt directe metingen van de activiteit van een stralingsbron en helpt bij het detecteren van verontreiniging en het beoordelen van stralingsniveaus in een omgeving. |

* Hd11
** Hd11.txt
|#| Vraag                                                                                         | Antwoord                                                                                                                                                        |
|---------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 1 | Wat zijn de vier binnenste planeten in ons zonnestelsel?                                | Mercurius, Venus, Aarde, en Mars.                                                                                                                                   |
| 2 | Wat is een verschil tussen de vier binnenste planeten en de vier buitenste planeten?     | De binnenste planeten (aardachtige planeten) hebben een vaste mantel en kern, terwijl de buitenste planeten (reusachtige planeten) voornamelijk uit gas bestaan. |
| 3 | Hoe verschilt een maan van een planeet?                                                  | Een maan draait om een planeet en weerkaatst zonlicht, terwijl een planeet om de zon draait en zelf geen licht uitstraalt.                                        |
| 4 | Wat is een vallende ster en hoe verschilt dit van een komeet?                            | Een vallende ster is een rotsblok dat door de dampkring van de aarde valt en oplicht door luchtwrijving. Een komeet heeft een kern van ijs en stof en een lange staart. |
| 5 | Hoe ontstaat een maansverduistering?                                                     | Een maansverduistering ontstaat wanneer de aarde tussen de zon en de maan staat, waardoor de maan in de schaduw van de aarde komt.                                 |
| 6 | Hoe ontstaat een zonsverduistering?                                                       | Een zonsverduistering ontstaat wanneer de maan tussen de aarde en de zon staat, waardoor de zon gedeeltelijk of volledig wordt afgedekt door de maan.              |
| 7 | Waarom is een zonsverduistering zeldzamer dan een maansverduistering?                    | Een zonsverduistering is zeldzamer omdat de schaduw van de maan op aarde relatief klein is en slechts over een beperkt gebied zichtbaar is.                       |
| 8 | Waarom zie je altijd dezelfde kant van de maan vanaf de aarde?                          | De maan draait in dezelfde tijd om zijn as als om de aarde, waardoor altijd dezelfde kant naar de aarde gericht is.                                                |
| 9 | Wat zie je tijdens een zonsverduistering als je op de maan staat en naar de aarde kijkt?  | Je ziet een zwarte vlek op de aarde, omdat de maan de zon afdekt en de aarde in schaduw ligt.                                                                       |
| 10 |  Wat zie je tijdens een maansverduistering als je op de maan staat en naar de aarde kijkt? | Je ziet geen zonlicht op de maan, omdat de aarde tussen de zon en de maan staat en de maan in de schaduw van de aarde ligt.                                        |
| 11 |  Waarom kunnen we de achterkant van de maan nooit zien?                                  | De achterkant van de maan is altijd uit het zicht omdat de maan in een synchrone rotatie om de aarde draait, waardoor altijd dezelfde kant naar de aarde is gericht. |
| 12 |  Hoe verklaar je de afwisseling van seizoenen op aarde?                                   | De seizoenen wisselen door de helling van de aardas ten opzichte van de baan om de zon, wat zorgt voor variërende hoek en duur van zonlicht op aarde.              |
| 13 |  Wat is het effect van de poolcirkels op de aanwezigheid van de middernachtzon?           | Binnen de poolcirkels kan de zon in de zomer niet ondergaan, wat leidt tot de middernachtzon, waarbij het 24 uur licht blijft.                                      |
| 14 |  Waarin verschilt de zonnestraling op een maanoppervlak van de zonnestraling op aarde?   | De zonnestraling op de maan is direct en zonder atmosferische verstrooiing, wat leidt tot hogere intensiteit vergeleken met de aarde.                            |
| 15 |  Hoe verschilt de diameter van de maan van die van de aarde?                             | De diameter van de maan is ongeveer vier keer kleiner dan de diameter van de aarde.                                                                               |
| 16 | Wat is een eenparige cirkelbeweging?                                                            | Een beweging waarbij een voorwerp met constante snelheid langs een cirkelbaan beweegt, waarbij de richting verandert. |
| 17 | Hoe wordt de baansnelheid van een voorwerp in een cirkelbeweging bepaald?                        | De baansnelheid is de afstand die een voorwerp in een bepaalde tijdsperiode aflegt langs de cirkelbaan.             |
| 18 | Wat is de omlooptijd van een cirkelbeweging?                                                     | De tijd die nodig is om één volledige cirkelbaan af te leggen.                                                     |
| 19 | Hoe verandert de richting van de snelheid in een eenparige cirkelbeweging?                      | De richting van de snelheid verandert continu, maar de grootte van de snelheid blijft constant.                     |
| 20 | Wat is de middelpuntzoekende kracht?                                                             | De kracht die een voorwerp in een cirkelbeweging houdt, altijd gericht naar het middelpunt van de cirkel.           |
| 21 | Wat gebeurt er met de middelpuntzoekende kracht als de massa van het voorwerp toeneemt?          | De middelpuntzoekende kracht neemt toe.                                                                            |
| 22 | Wat gebeurt er met de middelpuntzoekende kracht als de baansnelheid toeneemt?                    | De middelpuntzoekende kracht neemt toe.                                                                            |
| 23 | Wat gebeurt er met de middelpuntzoekende kracht als de baanstraal vergroot?                      | De middelpuntzoekende kracht neemt af.                                                                             |
| 24 | Hoe bereken je de baansnelheid van de maan als je de baanstraal en de omlooptijd kent?            | Baansnelheid = (2 × π × baanstraal) / omlooptijd.                                                                  |
| 25 | Wat is het effect van een grotere straal van een cirkelbaan op de benodigde kracht voor een eenparige cirkelbeweging? | De benodigde kracht neemt af.                                                                                      |
| 26 | Hoe kan de valversnelling op grote hoogte worden berekend?                                        | Door de formule voor gravitatiekracht aan te passen met de grotere afstand tot het middelpunt van de aarde.         |
| 27 | Wat is de relatie tussen de kracht tussen twee massa's en de afstand tussen de zwaartepunten?    | De kracht is omgekeerd evenredig met het kwadraat van de afstand tussen de zwaartepunten.                           |
| 28 | Hoe wordt de kracht die de aarde op een voorwerp uitoefent ook wel genoemd?                      | Zwaartekracht.                                                                                                     |
| 29 | Wat is de eenheid van de gravitatiekracht?                                                        | Newton (N).                                                                                                        |
| 30 | Hoe wordt de snelheid van een voorwerp op een draaimolen berekend?                               | Snelheid = (2 × π × straal) / omlooptijd.                                                                         |
| 31 | Wat gebeurt er met de maximale snelheid van een auto in een bocht bij regen?                     | De maximale snelheid neemt af.                                                                                    |
| 32 | Hoe beïnvloedt de massa van het voorwerp de benodigde kracht voor een cirkelbeweging?             | Een grotere massa vereist een grotere kracht om een eenparige cirkelbeweging te behouden.                           |
| 33 | Hoe bereken je de middelpuntzoekende kracht?                                                       | Middelpuntzoekende kracht = massa × (baansnelheid)^2 / baanstraal.                                                 |
| 34 | Beschrijf de vorm van planeetbanen in het zonnestelsel.                                        | Bijna cirkelvormig, beschouw ze als cirkels met de zon in het middelpunt. |
| 35 | Welke kracht zorgt ervoor dat een planeet in een cirkelvormige baan om de zon beweegt?         | De gravitatiekracht.                                                  |
| 36 | Waarvan hangt de baansnelheid van een planeet om de zon af?                                    | Van de massa van de zon en de afstand tussen planeet en zon.           |
| 37 | Wat is de relatie tussen de omlooptijd van een planeet en de afstand tot de zon?               | De omlooptijd hangt alleen af van de afstand en is groter bij grotere afstand. |
| 38 | Hoe kun je de massa van de zon bepalen met behulp van de omlooptijd van een planeet?             | Gebruik de formule voor de baansnelheid en de afstand tot de zon.     |
| 39 | Wat is het kenmerk van een geostationaire satelliet?                                            | Het blijft altijd boven dezelfde plaats op aarde hangen en draait mee met de aarde. |
| 40 | Wat is de hoogte van een geostationaire satelliet boven het aardoppervlak?                     | Ongeveer 36.000 km.                                                   |
| 41 | Wat is het doel van een polaire satelliet?                                                      | Om elke plek op het aardoppervlak te bestuderen door over de polen te bewegen. |
| 42 | Hoe bereken je de hoogte van een satelliet met een omlooptijd van 14 rondjes per dag?           | Gebruik de formule voor de baansnelheid.                               |
| 43 | Waarom zou een satelliet boven Rusland of de Atlantische Oceaan zijn na een rondje?             | Het hangt af van het tijdstip van opname en het baanpatroon van de satelliet. |
| 44 | Hoeveel tijd heeft de Voyager nodig om Sirius A te bereiken, gegeven de afstand en snelheid?   | Dit moet berekend worden met behulp van BINAS en de afstand.          |
| 45 | Wat is een lichtjaar?                                                                          | De afstand die licht in één jaar aflegt.                              |
| 46 | Hoeveel meter is één lichtjaar?                                                                 | Ongeveer \( 9,46 \times 10^{15} \) meter.                              |
| 47 | Hoe lang duurt het voordat licht van de zon de aarde bereikt?                                   | Ongeveer 8 minuten.                                                   |
| 48 | Hoe ver kijkt een telescoop in het verleden?                                                    | Het ziet het heelal zoals het er op het moment van lichtuitzending uitzag. |
| 49 | Wat is een sterrenstelsel?                                                                 | Een sterrenstelsel is een verzameling van miljarden sterren die om een centraal gebied draaien.      |
| 50 | Wat is het dichtstbijzijnde sterrenstelsel vanaf de aarde?                                  | De Andromedanevel.                                                                                     |
| 51 | Hoe bepalen sterrenkundigen de temperatuur van een ster?                                    | Door het licht dat de ster uitzendt te analyseren.                                                     |
| 52 | Waarom zie je sterren alleen als kleine lichtpuntjes?                                        | Omdat ze onvoorstelbaar ver weg zijn.                                                                  |
| 53 | Welke eenheid wordt gebruikt om afstanden in het heelal te meten?                          | Lichtjaar.                                                                                            |
| 54 | Wat is de afstand die licht in een jaar aflegt?                                             | Een lichtjaar.                                                                                        |
| 55 | Wat laat je zien als je naar de maan kijkt?                                                 | De maan zoals hij er ruim 1 seconde geleden uitzag.                                                    |
| 56 | Wat gebeurt er met de afstand tussen sterrenstelsels in een uitdijend heelal?               | De afstand tussen sterrenstelsels wordt steeds groter.                                                |
| 57 | Wat is de oerknal?                                                                          | Het tijdstip waarop alle materie in het heelal geconcentreerd was in één punt, ongeveer veertien miljard jaar geleden. |
| 58 | Hoe kan je de temperatuur van een ster berekenen met de wet van Wien?                       | Door de golflengte van het stralingsmaximum te gebruiken.                                               |
| 59 | Wat gebeurt er met de golflengte van het stralingsmaximum als de temperatuur van een ster stijgt? | De golflengte van het stralingsmaximum wordt korter.                                                     |
| 60 | Wat is een kenmerk van sterren met een hoge temperatuur?                                    | Ze hebben een blauwe kleur en zenden straling uit in het blauwe deel van het spectrum.                 |
| 61 | Hoeveel sterren zijn er ongeveer in de Melkweg?                                             | Ongeveer vijfhonderd miljard.                                                                         |
| 62 | Hoeveel sterrenstelsels zijn er naar schatting in het heelal?                              | Ongeveer honderd miljard.                                                                            |
| 63 | Wat is een cluster van sterrenstelsels?                                                     | Een groep van sterrenstelsels die bij elkaar in de ruimte voorkomen.                                   |
| 64 | Wat is de Hubbleconstante?                                                                   | De snelheid waarmee sterrenstelsels zich van ons af bewegen.                                            |
| 65 | Hoe wordt het uitdijende heelal vergeleken in de tekst?                                     | Met deeg voor een krentenbol waarbij de krenten de sterrenstelsels zijn.                              |
| 66 | Welke rol speelt de James Webb Ruimtetelescoop in vergelijking met de Hubble Ruimtetelescoop? | De James Webb Ruimtetelescoop heeft de Hubble Ruimtetelescoop vervangen en onderzoekt het heelal met golflengtes van tot 28 µm. |
| 67 | Hoeveel golflengtegebieden worden genoemd voor de James Webb Ruimtetelescoop?               | Zes golflengtegebieden.                                                                               |
| 68 | Wat is een zonnevlek?                                                                       | Een donkere vlek op het oppervlak van de zon met een lagere temperatuur dan de omgeving.              |
| 69 | Hoeveel tijd heeft licht nodig om van de zon naar de aarde te reizen?                      | Ongeveer acht minuten.                                                                               |
| 70 | Wat is het belangrijkste doel van het speciale glas dat door de James Webb Ruimtetelescoop wordt gebruikt? | Het glas houdt zichtbaar licht tegen en laat meer infrarode straling door om de ruimte koel te houden. |
| 71 | Wat is de oppervlakte temperatuur van Arcturus?                                                | 4.000 °C                                                                                        |
| 72 | Hoe lang doet de straling van Arcturus erover om de aarde te bereiken?                           | 6 jaar                                                                                           |
| 73 | Bereken de afstand tot Arcturus in kilometers.                                                | Ongeveer 5,7 x 10^15 km                                                                          |
| 74 | Waar ligt het stralingsmaximum van Arcturus bij?                                                | 800 nm                                                                                           |
| 75 | Wat is het effect van de beweging van Arcturus op de golflengte van de straling?                  | Roodverschuiving                                                                                 |
| 76 | Wat is het dopplereffect?                                                                      | De verandering in golflengte van straling door de beweging van een bron ten opzichte van een waarnemer. |
| 77 | Welke golflengte van geluid is bij een naderende auto hoger of lager?                          | Hoger                                                                                            |
| 78 | Wat is de oorzaak van de verandering van golflengte bij het dopplereffect?                       | De snelheid van het bewegende voorwerp ten opzichte van de waarnemer.                              |
| 79 | Is er roodverschuiving of blauwverschuiving bij de beweging van Arcturus van de aarde af?        | Roodverschuiving                                                                                 |
| 80 | Hoeveel seconden doet een laserpuls over de afstand van de aarde tot de maan?                   | 2,5 seconden                                                                                    |
| 81 | Hoe groot is de onnauwkeurigheid in de afstand tot de maan bij een meetonnauwkeurigheid van 1 ps? | Enkele millimeters                                                                              |
| 82 | Verandert de gravitatiekracht die de aarde uitoefent op de maan met de afstand?                  | Ja, de kracht is vroeger groter dan nu omdat de afstand toeneemt.                                |
| 83 | Hoe verandert de omlooptijd van de maan om de aarde in de loop van de tijd?                      | De omlooptijd is groter dan vroeger.                                                             |
| 84 | Wat is een exoplaneet?                                                                         | Een planeet die om een andere ster dan de zon draait.                                            |
| 85 | Hoe reken je de afstand tot Corotexo om van parsec naar lichtjaar?                               | Gebruik de conversiefactor (1 parsec ≈ 3,26 lichtjaar).                                          |
| 86 | Wat is de massa van Corotexob in vergelijking met de aarde?                                      | Ongeveer x de massa van de aarde.                                                                |
| 87 | Wat is de diameter van de ster waar Corotexob omheen draait?                                    | Bereken dit met de gegevens over de variatie in lichtsterkte tijdens de transit van de planeet.  |
| 88 | Is de kleur van de ster roder of blauwer dan die van de zon?                                    | Roder                                                                                           |

* Hd12
** Hd12.txt
|#| Vraag | Antwoord |
|-----------|--------------|
| 1 | Wat wordt bedoeld met een convergerende lichtbundel? | Een lichtbundel die steeds smaller wordt, zoals bij een vergrootglas. |
| 2 | Wat is het effect van een ruw oppervlak op weerkaatsing van licht? | Het zorgt voor diffuse weerkaatsing, waarbij lichtstralen in verschillende richtingen worden verspreid. |
| 3 | Hoe heet het verschijnsel waarbij een voorwerp een schaduw vormt door een lichtbundel gedeeltelijk tegen te houden? | Schaduwvorming. |
| 4 | Wat gebeurt er met het licht als het door een dunne laag bewolking gaat? | Je ziet rechte donkere strepen onder de bewolking door de rechtlijnige voortplanting van het licht. |
| 5 | Wat gebeurt er met een gedeelte van het licht dat op een voorwerp valt?                       | Het wordt weerkaatst en een ander gedeelte wordt omgezet in warmte. |
| 6 | Hoe noem je het verschijnsel waarbij een voorwerp licht opneemt?                              | Absorptie                                                 |
| 7 | Waarom zijn de letters in een leesboek donkerder dan het papier?                              | De letters absorberen bijna al het licht en weerkaatsen weinig. |
| 8 | Wat gebeurt er met lichtstralen die op een rode letter vallen?                                | Rode lichtstralen worden weerkaatst, andere kleuren worden geabsorbeerd. |
| 9 | Hoe lang doet het licht van de ster Sirius erover om de aarde te bereiken?                    | Bereken dit met de afstand en de lichtsnelheid.            |
| 10 | Waarom gebruiken astronomen lichtjaren in plaats van kilometers om afstanden te meten?        | Lichtjaren zijn praktischer voor grote afstanden in het heelal. |
| 11 | Wat betekent "kijken naar het verleden" volgens astronomen?                                  | Licht van verre objecten heeft tijd nodig om ons te bereiken, dus we zien ze zoals ze waren in het verleden. |
| 12 | Hoe kun je de orde van grootte van de afstand van een alien tot de aarde berekenen?            | Door het lichtjaar en de afstand van de ster te gebruiken. |
| 13 | Hoe noem je een stof die licht doorlaat?                                                        | Doorzichtige stof                                         |
| 14 | Wat gebeurt er bij een zonnebril naast de doorlating van licht?                                | Er treedt ook een vermindering van schittering op.        |
| 15 | Waarom worden ontspiegelde brillenglazen sneller vuil?                                        | Ontspiegelde glazen hebben een andere oppervlakte-eigenschap die sneller vuil aantrekt. |
| 16 | Hoe worden lichtstralen door een periscoop geleid?                                            | Lichtstralen worden via spiegels weerkaatst naar de kijker.|
| 17 | Waarom moet de primaire spiegel van een telescoop groot zijn?                                  | Om meer licht te verzamelen en verafgelegen sterrenstelsels beter te kunnen zien. |
| 18 | Hoe verschilt de brekingsindex voor verschillende kleuren licht?                               | De brekingsindex is hoger voor violet licht dan voor rood licht. |
| 19 | Wat is totale terugkaatsing?                                                                   | Licht wordt volledig teruggekaatst in plaats van door de stof heen te breken. |
| 20 | Wat is de brekingsindex en hoe wordt deze berekend?                                            | De brekingsindex is de verhouding van lichtsnelheden in twee stoffen. |
| 21 | Hoe wordt de voortplantingssnelheid van licht in een stof vergeleken met die in lucht?          | De voortplantingssnelheid is lager in een stof dan in lucht. |
| 22 | Waarom breekt licht bij de overgang van lucht naar water?                                      | Omdat de lichtsnelheid in water lager is, waardoor de lichtstraal buigt. |
| 23 | Wat gebeurt er met de breking van licht in de dampkring van de aarde?                         | Licht breekt naar de normaal toe, waardoor sterren lager aan de hemel lijken. |
| 24 | Hoe kun je de brekingsindex van een vloeistof bepalen?                                         | Door de hoek van breking en inval te meten en deze waarden te gebruiken. |
| 25 | Wat gebeurt er met lichtstralen die door een prisma gaan?                                      | Ze worden gebroken en gesplitst in verschillende kleuren. |
| 26 | Hoe verschilt de breking van blauwe en rode lichtstralen in een prisma?                        | Blauwe lichtstralen breken sterker dan rode lichtstralen. |
| 27 | Wanneer zal er geen verschuiving of een nauwelijks waarneembare verschuiving optreden? | Er zal geen of een nauwelijks waarneembare verschuiving optreden als de lichtstraal loodrecht op het oppervlak van de glasplaat valt. |
| 28 | Bepaal met behulp van figuur b de brekingsindex van het glas dat gebruikt wordt. | De brekingsindex van het glas kan worden berekend door de verhouding te nemen van de sinus van de hoek van inval tot de sinus van de hoek van breking. |
| 29 | Wat gebeurt er met de verschuiving als de glasplaat vervangen wordt door een glasplaat met een kleinere brekingsindex, terwijl de hoek van inval en de dikte van de glasplaat onveranderd blijven? | De verschuiving zal minder worden als de brekingsindex kleiner is. |
| 30 | Noem nog een factor die de grootte van de verschuiving beïnvloedt. Licht je antwoord toe. | De dikte van de glasplaat beïnvloedt ook de grootte van de verschuiving. Hoe dikker de glasplaat, hoe groter de verschuiving. |
| 31 | Waarom treedt er bij P geen breking op in de glasvezelkabel? | Bij P valt de lichtstraal loodrecht op het oppervlak van de glasvezelkabel, waardoor er geen breking optreedt. |
| 32 | Bereken de lichtsnelheid in de glasvezelkabel. | De lichtsnelheid in de glasvezelkabel kan worden berekend door de lichtsnelheid in lucht te delen door de brekingsindex van het glas. |
| 33 | Toon met behulp van figuur aan dat er bij C totale terugkaatsing optreedt. | Totale terugkaatsing treedt op als de hoek van inval groter is dan de grenshoek van het glas. |
| 34 | Teken het verdere verloop van de lichtstraal tot SS en schets hoe bij S de lichtstraal breekt. Licht je schets toe. | Bij SS verlaat de lichtstraal de glasvezel en breekt volgens de brekingswet naar de lucht toe. |
| 35 | Hoe maken lenzen een beeld van een voorwerp? | Lenzen breken het licht zodat evenwijdige lichtstralen convergeren of divergeren om een beeld te vormen. |
| 36 | Noem de twee hoofdtypen lenzen en hun werking. | Positieve (bolle) lenzen hebben een convergerende werking, terwijl negatieve (holle) lenzen een divergerende werking hebben. |
| 37 | Hoe wordt het brandpunt van een lens aangeduid en wat bepaalt de brandpuntsafstand? | Het brandpunt wordt aangeduid met de letter F. De brandpuntsafstand wordt bepaald door de bolling van de lens en de brekingsindex van het materiaal. |
| 38 | Wat gebeurt er met het beeld als de voorwerpsafstand groter is dan de brandpuntsafstand? | Het beeld is omgekeerd en kan op een scherm worden opgevangen. Het beeld kan verkleind of vergroot zijn, afhankelijk van de afstand. |
| 39 | Wat gebeurt er als het voorwerp binnen de brandpuntsafstand van de lens staat? | Er ontstaat een virtueel, rechtopstaand en vergroot beeld aan dezelfde kant van de lens als het voorwerp. |
| 40 | Hoe wordt een telescopische afbeelding gecreëerd met behulp van twee lenzen? | Een telescoop gebruikt een objectief om een vergroot beeld te maken en een oculair om dat beeld verder te vergroten en zichtbaar te maken voor de kijker. |
| 41 | Wat is een nadeel van een telescoop waarbij de lenzen in elkaar schuiven? | Een nadeel is dat het lastiger kan zijn om het beeld scherp te stellen en het is ook mogelijk dat er verlies van licht of een verminderd gezichtsveld optreedt. |
| 42 | Hoe moet je het scherm in de telescoop instellen voor een scherp beeld? | Het scherm moet op de juiste afstand worden geplaatst waar het beeld scherp wordt weergegeven door het objectief en het oculair. |
| 43 | Waarom zie je geen volledig beeld als de wand van de koker van een telescoop licht absorbeert? | Omdat de wand het licht absorbeert, komt er minder licht naar het oog, waardoor een verminderd beeld zichtbaar is. |
| 44 | Hoe groot moet de afstand van het scherm tot de lens zijn om een scherp beeld van de zon te krijgen? | De afstand van het scherm tot de lens moet gelijk zijn aan de brandpuntsafstand van de lens om een scherp beeld te krijgen. |
